Station Counts by State and Fuel Type,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Totald
Maryland,11,12,43,"880 | 2,767",0 | 0 | 0,0,10|17|2027,"2,860"
,,,,"33 | 2,264 | 470",,,,
Massachusetts,10,13,7,"1,033 | 3,406",0 | 1 | 1,1,9|21|1930,"3,468"
,,,,"28 | 3,041 | 337",,,,
Michigan,10,24,236,"628 | 1,598",0 | 2 | 2,0,24 | 67 | 91,"1,961"
,,,,"48 | 1,216 | 324",,,,
Minnesota,146,23,422,"445 | 1,218",0 | 0 | 0,0,17 | 26 | 43,"1,852"
,,,,120 | 897 | 201,,,,
Mississippi,2,8,5,105 | 344,0 | 0 | 0,2,16 | 60 | 76,437
,,,,58 | 228 | 58,,,,
Missouri,2,20,115,"508 | 2,060",0 | 0 | 0,1,22 | 49 | 71,"2,269"
,,,,"9 | 1,834 | 217",,,,
Montana,1,1,1,65 | 188,0 | 0 | 0,0,14 | 25 | 39,230
,,,,3 | 85 | 100,,,,
Nebraska,3,10,88,116 | 287,0 | 0 | 0,1,5|25|1930,419
,,,,7 | 212 | 68,,,,
Nevada,2,8,12,"298 | 1,162",0 | 0 | 0,0,9|13|2022,"1,206"
,,,,12 | 858 | 292,,,,
New Hampshire,2,4,0,131 | 291,0 | 0 | 0,0,9|13|2022,319
,,,,5 | 215 | 71,,,,
New Jersey,4,28,6,"558 | 1,651",0 | 0 | 0,0,4|9|2013,"1,702"
,,,,"17 | 1,208 | 426",,,,
New Mexico,3,11,14,119 | 374,0 | 0 | 0,1,34 | 20 | 54,457
,,,,24 | 224 | 126,,,,
New York,28,62,75,"2,031 | 6,092",0 | 1 | 1,0,13 | 30 | 43,"6,301"
,,,,"21 | 5,430 | 641",,,,
North Carolina,112,38,96,"822 | 2,267",0 | 0 | 0,2,13 | 69 | 82,"2,597"
,,,,"29 | 1,925 | 313",,,,
North Dakota,1,1,38,38 | 101,0 | 0 | 0,0, 5 | 19 | 24,165
,,,,0 | 58 | 43,,,,
Ohio,12,54,193,"654 | 1,840",0 | 1 | 1,3,27 | 48 | 75,"2,178"
,,,,"22 | 1,441 | 377",,,,
Oklahoma,3,117,69,263 | 693,0 | 0 | 0,0,29 | 93 | 122,"1,004"
,,,,7 | 340 | 346,,,,
Oregon,37,15,4,"743 | 2,117",0 | 0 | 0,2,31 | 21 | 52,"2,227"
,,,,"66 | 1,618 | 433",,,,
Pennsylvania,5,88,143,"759 | 2,048",0 | 0 | 0,3,34 | 57 | 91,"2,378"
,,,,"31 | 1,700 | 317",,,,
Rhode Island,4,3,0,148 | 550,0 | 0 | 0,0,1|4|2005,562
,,,,79 | 433 | 38,,,,
South Carolina,34,11,49,305 | 727,0 | 1 | 1,1,19 | 36 | 55,878
,,,,3 | 607 | 117,,,,
South Dakota,0,0,80,45 | 133,0 | 0 | 0,0,7|16|2023,236
,,,,0 | 79 | 54,,,,
Tennessee,9,21,89,"493 | 1,341",0 | 0 | 0,4,18 | 43 | 61,"1,525"
,,,,"35 | 1,118 | 188",,,,
Texas,26,112,241,"1,577 | 4,802",0 | 0 | 0,16,159 | 268 | 427,"5,624"
,,,,"82 | 3,995 | 725",,,,
Utah,0,48,2,"446 | 1,617",0 | 0 | 0,0,20 | 23 | 43,"1,710"
,,,,"2 | 1,407 | 208",,,,
Vermont,2,3,0,266 | 797,0 | 0 | 0,0,0 | 1 | 1,803
,,,,71 | 656 | 70,,,,
Virginia,10,23,61,"808 | 2,504",0 | 0 | 0,2,13 | 70 | 83,"2,683"
,,,,"127 | 1,864 | 513",,,,
Washington,36,25,16,"1,224 | 3,771",0 | 1 | 1,1,40 | 42 | 82,"3,932"
,,,,"161 | 2,981 | 629",,,,
West Virginia,0,3,37,93 | 258,0 | 0 | 0,0,3|10|2013,311
,,,,9 | 189 | 60,,,,
Wisconsin,4,48,256,381 | 829,0 | 0 | 0,1,11 | 53 | 64,"1,202"
,,,,77 | 605 | 147,,,,
Wyoming,0,8,10,61 | 172,0 | 0 | 0,0,8|15|2023,213
,,,,2 | 93 | 77,,,,
Total,712,"1,549","3,946","31,738 | 106,814",45 | 18 | 63,106,"946 | 2,010 | 2,956","116,146"
,,,,"2,611 | 86,780 | 17,367",,,,
,,,,,,,,
,,,,,,,,
(a) Includes legacy chargers but does not include residential electric charging infrastructure.,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,
"(d) Totals are the number of stations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes charging outlets rather than stations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations",,,,,,,,
