Station Counts by State and Fuel Type,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Totald
Maine,1,2,0,295 | 629,0 | 0 | 0,0,2 | 6 | 8,640
,,,,24 | 470 | 135,,,,
Maryland,27,15,46,"1,250 | 3,416",0 | 0 | 0,0,18 | 15 | 33,"3,537"
,,,,"47 | 2,785 | 584",,,,
Massachusetts,8,13,6,"2,175 | 4,871",0 | 2 | 2,0,19 | 11 | 30,"4,930"
,,,,"74 | 4,369 | 428",,,,
Michigan,10,23,245,"834 | 1,833",1 | 1 | 2,0,34 | 53 | 87,"2,200"
,,,,"39 | 1,392 | 392",,,,
Minnesota,157,23,454,"589 | 1,390",0 | 0 | 0,0,27 | 22 | 49,"2,073"
,,,,"124 | 1,031 | 235",,,,
Mississippi,1,6,4,112 | 433,0 | 0 | 0,2,18 | 56 | 74,520
,,,,139 | 222 | 72,,,,
Missouri,2,19,132,"1,053 | 2,200",0 | 0 | 0,1,23 | 40 | 63,"2,417"
,,,,"18 | 1,946 | 236",,,,
Montana,0,1,2,75 | 212,0 | 0 | 0,0,17 | 11 | 28,243
,,,,3 | 107 | 102,,,,
Nebraska,3,9,120,182 | 377,0 | 0 | 0,1,7 | 20 | 27,537
,,,,7 | 290 | 80,,,,
Nevada,2,5,12,"447 | 1,353",0 | 0 | 0,0,10 | 13 | 23,"1,395"
,,,,16 | 993 | 344,,,,
New Hampshire,2,4,0,164 | 351,0 | 0 | 0,0,6 | 12 | 18,375
,,,,7 | 247 | 97,,,,
New Jersey,5,28,6,"745 | 2,008",0 | 0 | 0,0,7 | 6 | 13,"2,060"
,,,,"18 | 1,440 | 550",,,,
New Mexico,2,11,18,187 | 457,0 | 0 | 0,1,34 | 20 | 54,543
,,,,10 | 319 | 128,,,,
New York,30,57,79,"2,974 | 7,621",0 | 1 | 1,0,17 | 29 | 46,"7,834"
,,,,"42 | 6,733 | 846",,,,
North Carolina,110,37,100,"1,117 | 2,784",0 | 0 | 0,1,19 | 51 | 70,"3,102"
,,,,"44 | 2,245 | 495",,,,
North Dakota,1,1,49,61 | 139,0 | 0 | 0,0,4 | 16 | 20,210
,,,,0 | 81 | 58,,,,
Ohio,10,52,213,"959 | 2,203",0 | 2 | 2,4,28 | 46 | 74,"2,558"
,,,,"33 | 1,829 | 341",,,,
Oklahoma,1,116,88,"313 | 1,088",0 | 0 | 0,0,32 | 86 | 118,"1,411"
,,,,11 | 413 | 664,,,,
Oregon,37,15,4,"995 | 2,439",0 | 0 | 0,2,29 | 15 | 44,"2,541"
,,,,"88 | 1,917 | 434",,,,
Pennsylvania,5,92,146,"1,143 | 2,665",0 | 0 | 0,3,40 | 42 | 82,"2,993"
,,,,"50 | 2,136 | 479",,,,
Rhode Island,3,1,0,255 | 628,0 | 0 | 0,0,3 | 2 | 5,637
,,,,82 | 509 | 37,,,,
South Carolina,33,11,46,384 | 862,0 | 0 | 0,1,21 | 25 | 46,999
,,,,17 | 675 | 170,,,,
South Dakota,0,0,83,57 | 156,0 | 0 | 0,0,7 | 14 | 21,260
,,,,2 | 91 | 63,,,,
Tennessee,9,20,95,"691 | 1,647",0 | 0 | 0,4,23 | 32 | 55,"1,830"
,,,,"39 | 1,374 | 234",,,,
Texas,18,107,269,"2,316 | 5,486",0 | 0 | 0,15,176 | 207 | 383,"6,278"
,,,,"115 | 4,468 | 903",,,,
Utah,1,42,1,"908 | 1,978",0 | 0 | 0,1,21 | 15 | 36,"2,059"
,,,,"17 | 1,722 | 239",,,,
Vermont,2,3,0,328 | 871,0 | 0 | 0,0,0 | 1 | 1,877
,,,,71 | 725 | 75,,,,
Virginia,7,23,64,"1,139 | 3,301",0 | 1 | 1,1,36 | 49 | 85,"3,482"
,,,,"247 | 2,296 | 758",,,,
Washington,25,24,14,"1,775 | 4,328",0 | 1 | 1,1,52 | 26 | 78,"4,471"
,,,,"218 | 3,394 | 716",,,,
West Virginia,1,2,38,111 | 307,0 | 0 | 0,0,5 | 12 | 17,365
,,,,18 | 211 | 78,,,,
Wisconsin,4,43,261,474 | 949,0 | 0 | 0,1,17 | 35 | 52,"1,310"
,,,,80 | 687 | 182,,,,
Wyoming,0,9,9,70 | 184,0 | 0 | 0,0,6 | 14 | 20,222
,,,,6 | 101 | 77,,,,
Total,730,"1,510","4,331","50,054 | 128,474",49 | 18 | 67,103,"1,239 | 1,566 | 2,805","138,020"
,,,,"3,448 | 103,190 | 21,782",,,,
,,,,,,,,
,,,,,,,,
(a) Includes legacy chargers but does not include residential electric vehicle charging infrastructure.,,,,,,,,
(b) Primary propane stations offer vehicle-specific fueling capabilities. Secondary propane stations have fuel available for use in vehicles but limited vehicle fueling services.,,,,,,,,
"(c) Retail hydrogen stations accept payment at the point of sale. Non-retail hydrogen stations are only available to a certain subset of customers (e.g., require an access card, PIN, or training).",,,,,,,,
"(d) Totals are the number of station locations for all fuel types combined. Individual stations count multiple times if the station offers more than one fuel type. For electric, the total includes EVSE ports rather than station locations. For hydrogen, the total includes all (retail and non-retail) stations. For propane, the total includes all (primary and secondary) stations.",,,,,,,,
