Make,Model,Type,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BUICK,VERANO,COMPACT,2,4,AS6,Z,11.5,7.9,9.9,29,228
BUICK,VERANO,COMPACT,2,4,M6,Z,11.6,7.5,9.8,29,225
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218
CADILLAC,ATS,COMPACT,2,4,AS6,Z,11.3,7.5,9.6,29,221
CADILLAC,ATS,COMPACT,2,4,M6,Z,12.1,7.9,10.2,28,235
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9,31,207
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251
CADILLAC,ATS AWD,COMPACT,2,4,AS6,Z,11.8,8.1,10.1,28,232
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9,11.3,25,260
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15,9.9,12.7,22,292
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8,35,184
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,7.9,36,182
CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7,8.3,34,191
CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,8.8,7,8,35,184
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9,8.1,10.7,26,246
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17,11.2,14.4,20,230
FORD,FIESTA ST,COMPACT,1.6,4,M6,X,8.9,6.8,8,35,184
FORD,FOCUS,COMPACT,2,4,M6,X,10.2,7.4,8.9,32,205
FORD,FOCUS FFV,COMPACT,2,4,A6,X,8.8,6.4,7.7,37,177
FORD,FOCUS FFV,COMPACT,2,4,A6,E,11.7,8.5,10.3,27,165
FORD,FOCUS FFV,COMPACT,2,4,AS6,X,8.9,6.4,7.8,36,179
FORD,FOCUS FFV,COMPACT,2,4,AS6,E,11.7,8.5,10.3,27,165
FORD,FOCUS FFV,COMPACT,2,4,M5,X,9.1,6.6,8,35,184
FORD,FOCUS FFV,COMPACT,2,4,M5,E,11.9,8.9,10.6,27,170
FORD,FOCUS SFE FFV,COMPACT,2,4,A6,X,8.4,5.8,7.2,39,166
FORD,FOCUS SFE FFV,COMPACT,2,4,A6,E,11.6,8.3,10.1,28,162
HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6,7,40,161
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,8.1,6.2,7.2,39,166
HONDA,CIVIC,COMPACT,1.8,4,M5,X,8.5,6.6,7.6,37,175
HYUNDAI,ACCENT,COMPACT,1.6,4,A6,X,8.8,6.3,7.7,37,177
HYUNDAI,ACCENT,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
HYUNDAI,VELOSTER,COMPACT,1.6,4,AM6,X,8.6,6.6,7.7,37,177
HYUNDAI,VELOSTER,COMPACT,1.6,4,M6,X,9.1,6.7,8,35,184
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,A6,X,9.9,7.5,8.8,32,202
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,M6,X,9.7,7.1,8.5,33,196
INFINITI,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,8.7,7.5,8.2,34,189
KIA,FORTE KOUP,COMPACT,1.6,4,A6,X,10.6,7.9,9.4,30,216
KIA,FORTE KOUP,COMPACT,1.6,4,M6,X,10.8,8.1,9.6,29,221
KIA,FORTE KOUP,COMPACT,2,4,A6,X,9.6,7,8.4,34,193
KIA,FORTE KOUP,COMPACT,2,4,M6,X,9.8,7.2,8.6,33,198
KIA,RIO,COMPACT,1.6,4,A6,X,8.7,6.3,7.6,37,175
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
KIA,RIO ECO,COMPACT,1.6,4,A6,X,8.5,6.4,7.6,37,175
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.8,5.6,50,129
LEXUS,IS 250,COMPACT,2.5,6,AS6,Z,11.2,7.8,9.7,29,223
LEXUS,IS 250 AWD,COMPACT,2.5,6,AS6,Z,11.8,8.7,10.4,27,239
LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,12.2,8.7,10.6,27,244
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.5,9.1,11,26,253
MAZDA,MAZDA2,COMPACT,1.5,4,A4,X,8.4,6.9,7.7,37,177
MAZDA,MAZDA2,COMPACT,1.5,4,M5,X,8,6.7,7.4,38,170
MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,AS6,X,7.9,5.7,6.9,41,159
MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,M6,X,8,5.8,7,40,161
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.4,6.1,7.4,38,170
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.3,6.1,7.3,39,168
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2,4,M6,X,8,5.8,7,40,161
MERCEDES-BENZ,C 250,COMPACT,1.8,4,AS7,Z,10.9,7.5,9.4,30,216
MERCEDES-BENZ,C 300 4MATIC FFV,COMPACT,3.5,6,AS7,Z,12.2,8.5,10.5,27,242
MERCEDES-BENZ,C 300 4MATIC FFV,COMPACT,3.5,6,AS7,E,16.4,11.1,14,20,224
MERCEDES-BENZ,C 350,COMPACT,3.5,6,AS7,Z,12,8.6,10.5,27,242
MERCEDES-BENZ,C 350 4MATIC,COMPACT,3.5,6,AS7,Z,11.9,8.6,10.4,27,239
MERCEDES-BENZ,C 63 AMG,COMPACT,6.2,8,AS7,Z,17.7,11.9,15.1,19,347
MERCEDES-BENZ,CL 550 4MATIC,COMPACT,4.7,8,AS7,Z,15.4,10.4,13.2,21,304
MERCEDES-BENZ,CL 63 AMG,COMPACT,5.5,8,AS7,Z,15.4,11,13.4,21,308
MERCEDES-BENZ,CLA 250,COMPACT,2,4,AS7,Z,9.1,6.2,7.8,36,179
MERCEDES-BENZ,CLA 45 AMG 4MATIC,COMPACT,2,4,AS7,Z,10.3,7.8,9.2,31,212
MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,AS7,Z,13.3,9.4,11.5,25,264
MERCEDES-BENZ,CLS 63 AMG 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.7,13.1,22,301
MERCEDES-BENZ,CLS 63 AMG S 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.7,13.1,22,301
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,A6,Z,9.4,7.9,8.7,32,200
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
MINI,COOPER PACEMAN,COMPACT,1.6,4,A6,Z,9.4,7.9,8.7,32,200
MINI,COOPER PACEMAN,COMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,A6,Z,10,7.8,9,31,207
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,A6,Z,10,7.8,9,31,207
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,A6,Z,10,7.8,9,31,207
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,A6,Z,10,7.8,9,31,207
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.3,7.5,8.5,33,196
MITSUBISHI,LANCER,COMPACT,2,4,AV6,X,9.2,7,8.2,34,189
MITSUBISHI,LANCER,COMPACT,2,4,M5,X,9.6,6.8,8.3,34,191
MITSUBISHI,LANCER AWD,COMPACT,2.4,4,AV6,X,10.5,8.2,9.5,30,218
MITSUBISHI,LANCER EVOLUTION,COMPACT,2,4,AM6,Z,14.2,10.5,12.5,23,288
MITSUBISHI,LANCER EVOLUTION,COMPACT,2,4,M5,Z,14,10.3,12.3,23,283
MITSUBISHI,LANCER RALLIART,COMPACT,2,4,AM6,Z,13.4,9.4,11.6,24,267
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.4,6,47,138
MITSUBISHI,MIRAGE,COMPACT,1.2,3,M5,X,7,5.6,6.4,44,147
NISSAN,VERSA,COMPACT,1.6,4,AV,X,7.2,5.8,6.6,43,152
NISSAN,VERSA,COMPACT,1.6,4,M5,X,8.6,6.5,7.7,37,177
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,A8,Z,20.7,12.8,17.1,17,393
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,A8,Z,20.7,12.7,17.1,17,393
SCION,tC,COMPACT,2.5,4,AS6,X,10.2,7.5,9,31,207
SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.6,9,31,207
SUBARU,IMPREZA AWD,COMPACT,2,4,AV,X,8.7,6.6,7.8,36,179
SUBARU,IMPREZA AWD,COMPACT,2,4,M5,X,9.6,7.1,8.5,33,196
SUBARU,IMPREZA AWD,COMPACT,2.5,4,M5,Z,12.6,9.5,11.2,25,258
SUBARU,IMPREZA AWD,COMPACT,2.5,4,M6,Z,14.2,10.4,12.5,23,288
TOYOTA,PRIUS c,COMPACT,1.5,4,AV,X,4.6,4.9,4.7,60,108
TOYOTA,YARIS,COMPACT,1.5,4,A4,X,7.9,6.6,7.3,39,168
TOYOTA,YARIS,COMPACT,1.5,4,M5,X,7.8,6.3,7.1,40,163
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,A6,X,9.5,7.2,8.5,33,196
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.9,7.2,8.7,32,200
VOLKSWAGEN,BEETLE,COMPACT,2,4,A6,Z,10.3,7.7,9.1,31,209
VOLKSWAGEN,BEETLE,COMPACT,2,4,M6,Z,10.8,7.6,9.4,30,216
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,A6,X,10.9,8.4,9.8,29,225
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,M5,X,11.2,7.7,9.6,29,221
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2,4,A6,D,8.4,5.9,7.4,38,200
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2,4,M6,D,8.8,6.1,7.7,37,208
VOLKSWAGEN,CC,COMPACT,2,4,A6,Z,11.1,7.9,9.7,29,223
VOLKSWAGEN,CC,COMPACT,2,4,M6,Z,11.6,7.7,9.8,29,225
VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6,A6,Z,14.3,9.8,12.3,23,283
VOLKSWAGEN,JETTA,COMPACT,1.8,4,A6,X,9.5,6.7,8.2,34,189
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,9.4,6.7,8.2,34,189
VOLKSWAGEN,JETTA,COMPACT,2,4,A6,X,10.6,8,9.4,30,216
VOLKSWAGEN,JETTA,COMPACT,2,4,M5,X,10.4,7.2,9,31,207
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2,4,A6,D,8.1,6.4,7.4,38,198
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2,4,M6,D,8.3,6,7.3,39,196
VOLKSWAGEN,JETTA GLI,COMPACT,2,4,A6,Z,10.2,7.5,9,31,207
VOLKSWAGEN,JETTA GLI,COMPACT,2,4,M6,Z,10.6,7.4,9.2,31,212
VOLKSWAGEN,JETTA TURBO HYBRID,COMPACT,1.4,4,AM7,Z,5.6,5.2,5.4,52,124
VOLVO,S60,COMPACT,2.5,5,AS6,X,11.3,7.8,9.7,29,223
VOLVO,S60 AWD,COMPACT,2.5,5,AS6,X,11.6,8.3,10.1,28,232
VOLVO,S60 AWD,COMPACT,3,6,AS6,X,13.2,9.5,11.5,25,264
ACURA,ILX,COMPACT,2,4,AS5,Z,9.7,6.7,8.3,34,191
ACURA,ILX,COMPACT,2.4,4,M6,Z,10.8,7.4,9.3,30,214
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,6.1,6.1,46,140
ACURA,TLX,COMPACT,2.4,4,AM8,Z,9.6,6.6,8.3,34,191
ACURA,TLX,COMPACT,3.5,6,AS9,Z,11.2,6.9,9.2,31,212
ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,29,221
AUDI,A4,COMPACT,2,4,AV8,Z,9.9,7.6,8.9,32,205
AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,11,7.8,9.6,29,221
AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.6,7.3,9.1,31,209
AUDI,Q3,COMPACT,2,4,AS6,Z,12,8.2,10.3,27,237
AUDI,Q3 QUATTRO,COMPACT,2,4,AS6,Z,11.9,8.4,10.3,27,237
AUDI,S4,COMPACT,3,6,AM7,Z,13,8.5,11,26,253
AUDI,S4,COMPACT,3,6,M6,Z,13.8,9,11.7,24,269
BENTLEY,CONTINENTAL GT,COMPACT,4,8,AS8,Z,16.1,9.4,13.1,22,307
BENTLEY,CONTINENTAL GT,COMPACT,6,12,AS8,Z,18.9,11.2,15.4,18,354
BMW,320i SEDAN,COMPACT,2,4,AS8,Z,10,6.5,8.4,34,193
BMW,320i SEDAN,COMPACT,2,4,M6,Z,10.7,6.9,9,31,207
BMW,320i xDRIVE SEDAN,COMPACT,2,4,AS8,Z,10.3,6.7,8.7,32,200
BMW,328d xDRIVE SEDAN,COMPACT,2,4,AS8,D,7.6,5.5,6.7,42,181
BMW,328i SEDAN,COMPACT,2,4,AS8,Z,10,6.5,8.4,34,193
BMW,328i SEDAN,COMPACT,2,4,M6,Z,10.7,6.9,9,31,207
BMW,328i xDRIVE SEDAN,COMPACT,2,4,AS8,Z,10.6,7.2,9.1,31,209
BMW,335i SEDAN,COMPACT,3,6,AS8,Z,11.4,7.4,9.6,29,221
BMW,335i SEDAN,COMPACT,3,6,M6,Z,11.5,7.8,9.8,29,225
BMW,335i xDRIVE SEDAN,COMPACT,3,6,AS8,Z,11.9,7.8,10,28,230
BMW,335i xDRIVE SEDAN,COMPACT,3,6,M6,Z,12,8.3,10.3,27,237
BMW,428i COUPE,COMPACT,2,4,AS8,Z,10,6.5,8.4,34,193
BMW,428i COUPE,COMPACT,2,4,M6,Z,10.7,6.9,9,31,207
BMW,428i GRAN COUPE,COMPACT,2,4,AS8,Z,10.4,7.1,8.9,32,205
BMW,428i GRAN COUPE,COMPACT,2,4,M6,Z,10.9,6.8,9,31,207
BMW,428i xDRIVE COUPE,COMPACT,2,4,AS8,Z,10.6,7.2,9.1,31,209
BMW,428i xDRIVE GRAN COUPE,COMPACT,2,4,AS8,Z,10.6,7.2,9.1,31,209
BMW,435i COUPE,COMPACT,3,6,AS8,Z,11.4,7.4,9.6,29,221
BMW,435i COUPE,COMPACT,3,6,M6,Z,11.5,7.8,9.8,29,225
BMW,435i GRAN COUPE,COMPACT,3,6,AS8,Z,11.4,7.4,9.6,29,221
BMW,435i xDRIVE COUPE,COMPACT,3,6,AS8,Z,11.9,7.8,10,28,230
BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,12,8.3,10.3,27,237
BMW,435i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,11.9,7.8,10,28,230
BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,12.1,8.1,10.3,27,237
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,AS8,Z,14.4,9.7,12.3,23,283
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
BMW,ACTIVEHYBRID 3,COMPACT,3,6,AS8,Z,9.7,7.5,8.7,32,200
BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
BMW,M3 SEDAN,COMPACT,3,6,AM7,Z,14.2,9.6,12.1,23,278
BMW,M3 SEDAN,COMPACT,3,6,M6,Z,13.7,9,11.6,24,267
BMW,M4 COUPE,COMPACT,3,6,AM7,Z,14.1,9.7,12.1,23,278
BMW,M4 COUPE,COMPACT,3,6,M6,Z,13.7,9,11.6,24,267
BMW,M6 COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M6 COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315
BUICK,VERANO,COMPACT,2,4,AS6,Z,11.4,7.9,9.8,29,225
BUICK,VERANO,COMPACT,2,4,M6,Z,11.6,7.6,9.8,29,225
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.1,7.4,9.4,30,216
CADILLAC,ATS,COMPACT,2,4,AS6,Z,11.1,7.9,9.7,29,223
CADILLAC,ATS,COMPACT,2,4,M6,Z,12.2,7.9,10.3,27,237
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,11.1,7.2,9.3,30,214
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.4,10.8,26,248
CADILLAC,ATS AWD,COMPACT,2,4,AS6,Z,11.5,8.5,10.2,28,235
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,12.8,8.9,11,26,253
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.3,8.8,11.3,25,260
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14,8.4,11.5,25,265
CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294
CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,15,9.9,12.7,22,292
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.6,7.9,10.5,27,242
CHEVROLET,CAMARO Z/28,COMPACT,6.2,8,M6,Z,18.1,12.3,15.5,18,357
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.9,13,16.8,17,386
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.6,12.4,14.7,19,338
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9,6.8,8,35,184
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.7,8.3,34,191
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,9,6.8,8,35,184
CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7,8.3,34,191
CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,8.9,6.9,8,35,184
FORD,FOCUS,COMPACT,1,3,M6,X,8.1,5.9,7.1,40,163
FORD,FOCUS,COMPACT,2,4,M6,X,10.2,7.3,8.9,32,205
FORD,FOCUS FFV,COMPACT,2,4,AM6,X,8.9,6.2,7.7,37,177
FORD,FOCUS FFV,COMPACT,2,4,AM6,E,11.9,8.5,10.4,27,166
FORD,FOCUS FFV,COMPACT,2,4,AS6,X,9.1,6.3,7.8,36,179
FORD,FOCUS FFV,COMPACT,2,4,AS6,E,12.2,8.6,10.6,27,170
FORD,FOCUS FFV,COMPACT,2,4,M5,X,9.3,6.7,8.1,35,186
FORD,FOCUS FFV,COMPACT,2,4,M5,E,12.4,9.1,10.9,26,174
HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.1,7.1,40,163
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,8.1,6.2,7.2,39,166
HONDA,CIVIC,COMPACT,1.8,4,M5,X,8.6,6.6,7.7,37,177
HONDA,CIVIC Si,COMPACT,2.4,4,M6,Z,10.8,7.6,9.4,30,216
HONDA,CIVIC HYBRID,COMPACT,1.5,4,AV,X,5.3,5,5.2,54,120
HYUNDAI,ACCENT,COMPACT,1.6,4,AS6,X,8.9,6.3,7.7,37,177
HYUNDAI,ACCENT,COMPACT,1.6,4,M6,X,8.7,6.3,7.6,37,175
HYUNDAI,VELOSTER,COMPACT,1.6,4,AM6,X,8.6,6.6,7.7,37,177
HYUNDAI,VELOSTER,COMPACT,1.6,4,M6,X,9,6.7,8,35,184
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,AS6,X,9.9,7.6,8.8,32,202
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,M6,X,9.7,7,8.5,33,196
INFINITI,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,8.7,7.5,8.2,34,189
KIA,FORTE KOUP,COMPACT,1.6,4,AS6,X,10.6,7.8,9.4,30,216
KIA,FORTE KOUP,COMPACT,1.6,4,M6,X,10.8,8.1,9.6,29,221
KIA,FORTE KOUP,COMPACT,2,4,AS6,X,9.7,7.1,8.6,33,198
KIA,FORTE KOUP,COMPACT,2,4,M6,X,10,7.4,8.8,32,202
KIA,RIO,COMPACT,1.6,4,AS6,X,8.8,6.3,7.7,37,177
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7,37,177
KIA,RIO ECO,COMPACT,1.6,4,AS6,X,8.5,6.3,7.6,37,175
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.9,5.7,50,131
LEXUS,IS 250,COMPACT,2.5,6,AS6,Z,11.1,7.8,9.6,29,221
LEXUS,IS 250 AWD,COMPACT,2.5,6,AS6,Z,11.8,8.7,10.4,27,239
LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,12.3,8.5,10.6,27,244
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.6,9.1,11,26,253
MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,AS6,X,7.9,5.7,6.9,41,159
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2,4,M6,X,8,5.8,7,40,161
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.4,6.1,7.4,38,170
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.2,5.9,7.2,39,166
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.4,8,35,184
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2,4,AS7,Z,10.1,7.8,9,31,207
MERCEDES-BENZ,C 400 4MATIC,COMPACT,3,6,AS7,Z,11.1,8.4,9.9,29,228
MERCEDES-BENZ,CLA 45 AMG,COMPACT,2,4,AS7,Z,10.2,7.7,9.1,31,209
MERCEDES-BENZ,CLS 400 4MATIC,COMPACT,3,6,AS7,Z,12.1,8.5,10.5,27,242
